X,X2,X3,X4,y
7.317937976,53.55221622,1.683319182,0.859736061,20.7163191
1.284357331,1.649573754,3.39513873,0.959256075,8.098008156
97.74065218,9553.235088,0.366479633,-0.344099845,5992.603427
17.75359136,315.1900062,-1.945300465,-0.889369648,199.9593608
66.44108134,4414.41729,0.504994995,-0.450777012,2384.624168
40.91616347,1674.132433,0.075602519,-0.075387378,1002.555777
95.68703527,9156.008719,7.558314277,0.991360994,5623.634585
83.68526187,7003.223054,-2.162977452,0.90768732,3983.231742
39.87342608,1589.890107,-1.450718236,0.823344151,819.9714674
90.67894485,8222.671039,-0.45528726,0.414362388,4895.67141
54.88890936,3012.792371,11.21107553,-0.996045484,2215.573007
76.62220886,5870.96289,2.766872167,0.940461383,4170.830021
12.59832192,158.7177151,0.031962181,0.031945867,297.7217732
37.48948311,1405.461344,-0.212754339,-0.208096772,676.3709098
76.88873862,5911.878126,12.42941388,0.996779179,4365.497224
35.29128849,1245.475043,0.901728578,-0.669673674,679.7234187
97.14370733,9436.899874,-0.250729282,0.243201343,4916.855545
35.77404502,1279.782297,2.703611684,-0.937899808,649.4456617
43.02721859,1851.341539,-1.413499636,-0.816359116,1144.973445
10.46066472,109.4255064,1.687675113,-0.860314733,31.71067038
68.45799906,4686.497635,-0.77137176,-0.610775253,2953.509109
73.04168144,5335.087227,0.999304721,-0.706860835,2650.830853
61.06307128,3728.698674,4.984707517,-0.980464815,2571.691155
51.53557275,2655.915259,3.224662108,0.955127604,1579.965215
12.36994415,153.0155182,-0.19899234,-0.195165771,35.89293813
95.47063589,9114.642318,2.757131415,0.940077075,5371.451994
21.80547129,475.4785781,-0.187840937,0.184612221,242.9343681
58.08545164,3373.919692,29.38965641,0.999421632,2173.260232
96.80542908,9371.2911,-0.660818847,0.55131799,5365.833868
47.69411692,2274.728789,0.641289029,-0.539823248,1477.606463
12.13413396,147.237207,-0.461330901,-0.418902797,118.6705453
10.80462804,116.7399872,5.173272057,-0.981825089,33.85634778
32.00330558,1024.211568,0.665766339,0.554181253,802.1124284
49.65132345,2465.25392,-0.705127582,-0.576271421,1480.717745
14.93655109,223.1005584,-0.972412081,0.697148364,288.0527005
6.888909216,47.45707019,0.692572881,0.569357344,23.51614516
