X1,X2,y
0,0,0
0,1,0
1,0,0
1,1,1
2,3,1
3,2,1
0,-1,0
2.479308738,2.287727254,1
2.102863791,2.028044558,1
2.058237425,1.743187687,1
1.508745706,1.827256782,1
1.537670369,2.01864682,1
2.106290565,2.24578351,1
1.511638196,2.248240644,1
1.87151976,2.270015469,1
1.991345711,2.043371284,1
2.282041907,1.533161821,1
1.929572359,1.762727184,1
1.79586297,2.400595481,1
1.624124149,1.596711505,1
2.038023748,1.604294778,1
2.01656595,1.917908916,1
2.240478418,2.391305983,1
2.065932253,2.222251955,1
1.557005194,2.243832882,1
1.906545447,2.100159906,1
1.824305596,2.087139983,1
2.13164534,2.482614703,1
2.185919275,1.926386207,1
2.394554452,1.686758143,1
1.763374351,2.341178882,1
2.400722617,2.467881578,1
2.371671892,1.947822222,1
1.581925879,2.420959243,1
2.441961721,1.918501374,1
1.857479862,1.873981082,1
1.667323016,1.908007483,1
2.338245662,2.111455628,1
1.754309147,2.349835324,1
2.329672871,1.866608728,1
2.187700329,1.626066756,1
2.239140184,2.418257428,1
1.846740334,1.979224063,1
2.42104897,1.571988892,1
1.820087161,2.014928997,1
2.440812984,1.56322233,1
2.285991628,2.090076687,1
1.665010048,2.176584546,1
1.832706418,2.264399202,1
2.461220378,2.429433903,1
1.697480704,2.145453607,1
2.346676107,1.608434166,1
2.095862425,1.935736208,1
1.686157883,2.443062963,1
2.263605107,2.378538001,1
1.767585991,1.649630174,1
2.422441894,1.784445144,1
1.534441299,1.520040608,1
2.256226257,1.814967217,1
1.978865521,1.619542261,1
2.02408923,1.544261049,1
2.252321576,2.256956729,1
1.833138941,1.869435252,1
1.523263525,1.582924747,1
1.575675358,1.930507019,1
1.566764395,2.447190295,1
1.880746961,1.75326155,1
1.536444682,2.302387438,1
2.263547682,1.501608925,1
1.992910815,1.817996914,1
1.711206934,1.909039298,1
2.441177805,2.081402782,1
1.963705411,1.775963722,1
1.755020042,1.956767362,1
1.754398361,2.13818668,1
1.516583877,1.595238186,1
2.094066279,1.577212894,1
1.935862813,1.875263559,1
2.261107882,2.42433749,1
1.992666063,1.671415193,1
1.57458277,2.146577478,1
